Service,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
577,717,MUPR DN SDG,05:30,MUPR,06:20,UP,50,yes,No StepBack,No StepBack,26,None
11,712,SAKP 3RD,05:45,KKDA DN,06:59,DN,74,no,No StepBack,No StepBack,94,95
570,709,IPE,05:45,PVGW UP,06:57,UP,72,no,No StepBack,No StepBack,3,None
10,715,MVPO DN,05:45,KKDA DN,06:42,DN,57,yes,No StepBack,No StepBack,72,73
571,704,MKPR,05:50,PVGW DN,06:03,DN,13,yes,No StepBack,No StepBack,106,None
579,708,MUPR,06:00,KKDA UP,06:16,UP,16,yes,No StepBack,No StepBack,12,None
578,707,SVVR,06:00,MUPR,06:10,UP,10,yes,No StepBack,No StepBack,17,None
14,705,DDSC DN,06:00,KKDA DN,06:53,DN,53,no,No StepBack,No StepBack,83,84
377,701,MKPD,06:00,PVGW DN,06:14,DN,14,yes,No StepBack,No StepBack,131,132
13,703,VND,06:00,PVGW UP,06:59,UP,59,no,No StepBack,No StepBack,5,6
12,702,VND,06:00,KKDA DN,06:07,DN,7,yes,No StepBack,No StepBack,39,40
15,704,PVGW DN,06:03,KKDA DN,07:09,DN,66,no,No StepBack,No StepBack,107,108
580,702,KKDA DN,06:07,MUPR,06:24,DN,17,yes,No StepBack,No StepBack,41,None
378,710,MKPD,06:10,PVGW DN,06:24,DN,14,yes,No StepBack,No StepBack,151,152
581,707,MUPR,06:10,KKDA UP,06:25,UP,15,yes,No StepBack,No StepBack,18,None
16,713,VND,06:13,PVGW UP,07:12,UP,59,no,No StepBack,No StepBack,8,9
17,701,PVGW DN,06:14,KKDA DN,07:20,DN,66,no,No StepBack,No StepBack,133,134
18,714,VND,06:15,KKDA DN,06:21,DN,6,yes,No StepBack,No StepBack,50,51
19,708,KKDA UP,06:16,PVGW UP,07:23,UP,67,no,No StepBack,No StepBack,13,14
572,718,DDSC SDG,06:20,PVGW UP,06:44,UP,24,yes,No StepBack,No StepBack,0,None
582,717,MUPR,06:20,KKDA UP,06:35,UP,15,yes,No StepBack,No StepBack,27,None
379,716,MKPD,06:20,PVGW DN,06:34,DN,14,yes,No StepBack,No StepBack,175,176
583,714,KKDA DN,06:21,MUPR,06:36,DN,15,yes,No StepBack,No StepBack,52,None
20,710,PVGW DN,06:24,KKDA DN,07:30,DN,66,no,No StepBack,No StepBack,153,154
21,707,KKDA UP,06:25,PVGW UP,07:31,UP,66,no,No StepBack,No StepBack,19,20
22,719,VND,06:25,KKDA DN,06:31,DN,6,yes,No StepBack,No StepBack,61,62
584,702,MUPR,06:30,KKDA UP,06:45,UP,15,yes,No StepBack,No StepBack,42,None
380,720,MKPD,06:30,PVGW DN,06:44,DN,14,yes,No StepBack,No StepBack,199,200
585,719,KKDA DN,06:31,MUPR,06:46,DN,15,yes,No StepBack,No StepBack,63,None
23,716,PVGW DN,06:34,KKDA DN,07:40,DN,66,no,No StepBack,No StepBack,177,178
24,717,KKDA UP,06:35,PVGW UP,07:41,UP,66,no,No StepBack,No StepBack,28,29
381,721,MKPD,06:40,PVGW DN,06:54,DN,14,yes,No StepBack,No StepBack,223,224
586,714,MUPR,06:40,KKDA UP,06:55,UP,15,yes,No StepBack,No StepBack,53,None
587,715,KKDA DN,06:42,MUPR,06:57,DN,15,yes,No StepBack,No StepBack,74,None
25,720,PVGW DN,06:44,KKDA DN,07:50,DN,66,no,No StepBack,No StepBack,201,202
382,718,PVGW UP,06:44,PVGW DN,07:22,UP,38,yes,No StepBack,No StepBack,1,288
26,702,KKDA UP,06:45,PVGW UP,07:51,UP,66,no,No StepBack,No StepBack,43,44
383,722,MKPD,06:50,PVGW DN,07:04,DN,14,yes,No StepBack,No StepBack,243,244
588,719,MUPR,06:50,KKDA UP,07:05,UP,15,yes,No StepBack,No StepBack,64,None
589,705,KKDA DN,06:53,MUPR,07:08,DN,15,yes,No StepBack,No StepBack,85,None
27,721,PVGW DN,06:54,KKDA DN,08:00,DN,66,no,No StepBack,No StepBack,225,226
28,714,KKDA UP,06:55,PVGW UP,08:01,UP,66,no,No StepBack,No StepBack,54,55
384,709,PVGW UP,06:57,PVGW DN,07:30,UP,33,yes,No StepBack,No StepBack,4,306
385,703,PVGW UP,06:59,PVGW DN,07:38,UP,39,yes,No StepBack,No StepBack,7,327
590,712,KKDA DN,06:59,MUPR,07:14,DN,15,yes,No StepBack,No StepBack,96,None
386,723,MKPD,07:00,PVGW DN,07:14,DN,14,yes,No StepBack,No StepBack,267,268
591,715,MUPR,07:00,KKDA UP,07:15,UP,15,yes,No StepBack,No StepBack,75,None
29,722,PVGW DN,07:04,KKDA DN,08:10,DN,66,no,No StepBack,No StepBack,245,246
30,719,KKDA UP,07:05,PVGW UP,08:11,UP,66,no,No StepBack,No StepBack,65,66
31,724,VND,07:08,KKDA DN,07:14,DN,6,yes,No StepBack,No StepBack,119,120
592,704,KKDA DN,07:09,MUPR,07:24,DN,15,yes,No StepBack,No StepBack,109,None
593,705,MUPR,07:10,KKDA UP,07:25,UP,15,yes,No StepBack,No StepBack,86,None
387,713,PVGW UP,07:12,PVGW DN,07:46,UP,34,yes,No StepBack,No StepBack,10,345
594,724,KKDA DN,07:14,MUPR,07:29,DN,15,yes,No StepBack,No StepBack,121,None
32,723,PVGW DN,07:14,KKDA DN,08:20,DN,66,no,No StepBack,No StepBack,269,270
33,715,KKDA UP,07:15,PVGW UP,08:21,UP,66,no,No StepBack,No StepBack,76,77
